userId,itemId
4837,5647
4657,2161
1040,877
2485,908
713,1654
4822,2606
39,465
1889,4182
1030,997
2121,4466
3984,271
3302,4223
1513,1006
853,2895
2624,4681
1229,4917
1365,372
4897,2125
483,1456
3548,1354
3551,2375
1880,71
1722,3142
3676,5126
4343,4922
2572,1030
2707,2718
3415,538
984,5315
1406,1541
3793,2918
1814,371
2121,1983
4419,3170
465,226
1060,54
4072,722
2182,3532
1432,2155
398,4427
1672,34
3510,67
3416,2455
226,3616
3573,2806
3196,955
1022,1044
1640,372
3595,1359
2122,911
639,3016
3573,1874
2941,4790
4229,1611
2343,2750
503,3236
3980,3475
2973,6215
2155,5120
2543,2038
1362,1532
1979,4896
2360,883
2390,1455
2000,210
4689,2155
3075,6350
891,4931
4118,743
450,3762
3620,4768
1413,302
3780,4694
4330,1381
2659,5710
6,82
504,877
2797,1178
297,44
2411,208
666,1198
2666,4373
80,963
3413,3034
2692,494
2950,2050
1887,151
3801,5501
1866,127
209,2397
1276,4762
897,1873
1626,1724
4425,3835
1501,1842
2716,6374
4684,2997
2473,1758
2422,5975
3955,1999
3298,4206
4795,2841
4991,6445
2777,567
4506,1148
771,365
3795,379
4073,533
3510,5097
978,2455
2065,538
884,488
597,1102
2966,47
2818,967
3805,189
3164,1730
2335,237
3420,5757
4467,4300
1434,3099
3362,609
2904,636
240,3733
3616,143
791,1921
4290,875
1777,5275
4226,455
893,949
1099,32
2434,728
2661,1724
3596,6332
3317,2340
4467,1425
3478,1170
3118,1654
2766,2380
758,1393
1676,804
49,597
3999,3430
3067,3379
209,2515
1276,3317
4755,5652
4068,1192
2636,1025
1189,3277
2750,2637
2136,4948
2593,458
1199,56
2712,1765
447,242
5011,2946
2751,1548
1423,43
209,3367
2506,1417
498,1332
3176,908
3330,2311
4947,5500
369,2566
2997,152
1042,5009
1295,2620
4478,458
1028,5678
1358,5695
3547,1618
168,1557
1859,5712
4263,1850
2518,4180
4004,5455
3820,136
3679,3659
4608,6075
297,3489
3454,4843
4236,4995
799,34
1138,5488
2815,2062
1184,168
532,4171
1855,3237
4314,1818
501,3534
2250,1484
1800,5866
2556,5317
3956,5985
3549,5167
123,272
633,4194
1605,2026
2474,536
2220,2823
2431,1185
909,19
4958,2323
1889,3440
4342,2552
3462,1664
1109,210
3230,2635
3190,889
45,561
3266,941
2717,1089
3284,5393
3520,946
2927,4233
3378,3339
4675,295
2133,365
5041,3816
209,2212
1952,1283
3148,3071
2176,2428
4918,256
5007,895
450,4611
2121,3261
614,3304
3357,1296
4354,1430
3168,3834
3805,536
1796,1119
3450,5110
4844,2755
1284,3078
136,1670
3046,2182
713,4763
4940,738
401,2601
3039,3368
4998,4577
555,145
1814,1541
243,1290
4806,3189
5063,462
4152,846
1927,3173
2028,4074
1942,658
5023,340
1052,936
121,1442
2135,2250
4922,3219
2906,4427
2881,445
2112,5685
243,3104
533,4842
2818,536
247,438
1629,1137
498,446
4247,6304
1948,359
2679,309
1925,2965
3217,3469
