userId,itemId
3518,471
4769,5161
1153,2865
145,3242
255,2908
2506,3958
640,678
3724,1936
1130,1084
4700,5427
5315,4041
3133,1502
6889,101
3003,632
5743,1196
7503,1406
4743,3687
6373,3755
5953,1057
126,657
2088,1168
3173,121
90,2288
652,532
4355,114
1292,4539
4165,851
3154,2570
2113,2355
652,4271
2721,114
117,2799
8381,1575
8213,5348
5429,1222
2726,4637
6283,1089
5163,1525
2174,2749
3799,455
209,875
3787,2219
5731,4201
8244,3458
2771,1175
2433,2610
4413,6694
1392,5417
261,4206
5532,4460
4146,6478
1340,503
3637,629
5086,1797
3153,651
4306,652
2708,4212
5985,3191
4743,908
478,3017
1000,6540
141,3122
8505,1352
3584,191
4163,2010
4230,5347
1631,5139
1192,1203
7905,3845
7849,1696
561,704
4700,5213
5500,962
2438,6522
461,3147
4317,2864
4043,1651
6441,1351
1826,637
3642,114
7489,6150
4971,950
2772,1822
4933,866
7897,4754
271,1416
3023,943
5678,4402
4626,1849
7958,653
8161,2738
2834,6184
7459,130
3213,4215
3443,2441
1611,1001
3613,1956
6425,67
6774,6184
7062,5466
2566,1188
3630,844
2865,282
2126,6631
3642,2537
7256,3968
2520,2885
8111,273
2225,5220
4958,2701
942,4705
215,1601
5710,2046
339,5110
822,3407
3439,114
2465,4974
2585,247
8117,5414
3279,91
760,4113
7958,6382
1566,5396
1431,913
8333,648
5368,120
8050,1737
2144,2039
7020,6267
2003,6432
3548,336
8486,2072
6828,1982
1004,5883
4477,2942
5657,6075
510,1099
1285,122
8159,4129
3585,5256
5040,3426
228,4234
6616,3218
1066,1311
3373,2156
2083,4100
3258,2939
183,2657
5997,794
446,249
767,67
2454,6444
2702,517
3774,1295
1284,0
5125,653
5391,931
3864,146
4484,1262
5980,1203
2018,907
709,3576
1746,156
8028,2042
6449,4287
4546,954
7473,1234
2763,282
708,4566
2883,4228
2917,5323
1233,2317
6804,83
3983,696
2468,278
1947,514
1484,2845
1421,6749
1560,6787
8040,4837
5846,3554
6222,547
656,3818
1635,3237
3495,4759
8286,480
2985,5394
290,4198
7189,5849
7723,1617
1237,4323
2853,569
6813,1169
7855,1060
5434,546
8038,569
3080,5381
5475,794
4164,611
4906,3245
4918,1527
5383,6330
274,4350
1236,1203
1778,4224
3113,1993
3132,4291
3034,96
3641,2148
1073,3778
4497,402
2540,1201
3343,954
6411,2087
1568,3115
1633,3264
7359,784
1885,6793
7850,3150
3145,1805
7673,3397
1899,3673
530,1147
2159,2303
6430,689
1037,4040
2031,2115
7331,622
7617,4217
2655,5152
5710,2927
5084,1233
3151,1326
6963,2968
7683,3622
6222,5946
5194,1927
2229,959
7371,5510
475,653
1923,3098
5917,2123
6184,4897
2002,6013
268,689
4788,4140
5245,404
95,1577
5710,1902
336,5128
656,1201
3989,1958
830,1336
3604,5197
1973,1635
7484,5007
5732,2540
4975,4716
2631,6559
346,3588
2032,3777
8340,1037
6851,652
3153,3536
6504,2457
8023,323
7257,1706
362,1827
2140,455
8246,242
8371,648
3470,6354
6076,5645
2273,3680
5245,551
2499,2706
5803,3703
1531,267
8167,1958
6453,1675
2903,6335
3647,323
4991,4327
89,2145
4284,522
189,1755
1883,1147
6705,3884
3317,5527
933,763
4669,3983
1851,818
6265,4814
7293,3500
569,616
3846,3609
3006,1022
5268,368
7405,1066
2709,5735
2702,3653
4358,2775
4538,2689
8375,198
760,1520
3804,4362
8136,1530
5566,1822
1207,654
1906,1122
4857,5422
2207,460
36,1359
3111,2624
824,6225
2189,6205
4845,2211
8204,624
2491,809
4161,1883
157,2642
6537,3897
5445,4125
1576,2538
1345,2539
5406,1186
1080,150
7563,1147
7911,6396
5093,2915
7050,2374
3422,6675
26,46
2715,1053
6711,471
5005,37
190,2024
1278,433
4877,4924
1668,1609
385,3210
6070,377
1141,2883
5530,460
2574,2383
2878,1199
3248,3013
2336,1695
148,1087
2436,446
2098,4405
1549,1530
3350,3587
1826,3504
5059,1526
872,198
8149,1530
1097,2367
5222,2946
6924,612
2535,3295
4568,283
6896,2888
7992,1622
8199,5359
2636,1759
794,3224
3186,867
7798,1234
4426,4711
484,2248
1904,681
2436,2150
283,67
1255,5352
1669,604
6421,889
2649,3226
1707,1196
3707,3032
8218,3928
6549,1938
2810,4278
7593,137
2315,3569
4846,5328
3258,5155
6167,2567
4075,1051
1161,2697
3111,3787
4752,6008
432,2956
6028,552
6568,2144
8220,1571
7360,3365
330,4965
2979,1374
5328,2644
2469,714
254,82
4389,6054
3453,121
760,6295
1038,1096
6257,53
1192,935
1891,4215
2871,855
3747,1502
6269,2921
1898,954
2614,5773
6136,163
1134,70
927,1060
6629,4767
2053,242
1851,80
3073,4132
4657,1916
277,521
3378,1293
861,1798
484,1124
5551,3612
1772,503
6892,613
578,635
1412,5804
1182,2014
8188,1810
3320,815
553,2765
450,3583
5387,4837
1838,6362
4944,4088
8499,459
5658,4858
7413,1060
783,1781
2141,5569
363,4099
98,1091
8408,5336
790,3625
3419,2598
2710,3090
248,1490
316,891
5576,5656
4886,6763
1579,4596
148,3369
147,3339
4441,3946
1803,1906
2686,920
1960,1246
1864,4760
2937,54
1237,3596
5529,318
492,2406
2065,4596
3627,336
107,1097
1586,2538
461,5639
986,613
1360,2578
7833,2136
4161,5079
2993,1417
690,1801
8134,5418
730,3476
6879,4234
6191,4529
5523,1692
5749,517
3796,6055
3983,4294
1113,416
4347,2646
8135,2960
3731,3927
1334,697
5280,1527
3345,4601
3846,466
3322,1432
6945,3497
4042,4792
903,5934
4767,487
5607,3229
6971,3459
747,6249
7244,6916
6958,5096
107,1321
7755,5594
3335,680
5654,3036
719,3946
1521,5707
4063,1337
3157,415
2377,807
670,1868
546,3108
1293,3293
5187,1530
3138,5931
2732,5005
5387,1187
5169,201
2904,365
5062,1326
861,4029
8452,2209
4302,5817
2961,283
1192,5954
7808,1196
6453,6903
6392,6469
8324,2578
2475,4377
4585,5825
1661,6300
3125,3325
248,2409
4161,4074
766,226
671,39
6645,4395
3578,3955
7620,5359
3810,1167
4513,283
6687,120
2691,2333
765,1966
1615,471
1719,3781
3276,1187
7289,3761
455,5602
3324,5208
5093,4682
4317,314
5357,5803
1672,5190
6510,5580
1498,4191
8347,3616
5215,6178
284,3376
6052,2729
6543,1480
7361,5624
6946,4812
8293,4161
3428,430
3239,283
7881,3098
887,3214
3603,701
4771,2184
184,770
4761,3427
884,1902
896,4882
7187,5306
7434,130
1412,1688
3430,3052
2578,2158
1735,1871
319,5052
1116,1981
7658,5864
7,357
7559,3946
3454,5765
1857,545
7795,6497
1414,2172
107,2681
1145,2847
2127,897
276,4732
3552,4646
788,1147
89,763
4264,6032
3944,1254
1667,1117
1866,4872
4981,3571
90,422
1966,2874
1652,4422
51,908
2149,2690
7260,1253
5222,5761
7871,3588
2033,2582
3485,1678
5983,5655
2409,5792
5937,4517
1076,763
467,3770
121,321
383,1505
7958,1294
1231,4339
4742,2101
125,2265
3153,5837
6882,6871
