userId,itemId
20528,5625
27329,615
35978,1388
43000,67
35675,658
18185,132
52637,3427
48727,648
31005,11891
16631,60
1205,1717
4879,519
18257,5827
3518,274
4930,5962
41357,648
31455,87
15454,1779
34412,129
38142,2963
17223,178
37713,1923
9634,917
39696,222
25251,3151
2342,3085
25728,4341
27454,45
19362,1680
34447,1045
3575,999
47311,2444
40773,631
16948,648
18962,8384
40598,387
52262,3446
45066,3323
9096,2511
49575,2124
1507,10853
50111,1949
26471,603
47540,322
25077,12312
30549,216
46490,9584
36458,2665
27715,2291
34445,2454
19355,446
2472,3997
43803,3132
47549,6209
6129,858
51303,68
33229,3729
27140,276
28274,107
19223,260
30833,7986
44445,1570
14411,71
6037,10950
13092,1166
31705,57
17489,2819
13458,9782
5616,1116
50278,868
12033,0
14830,6440
17716,567
17303,2054
25837,67
7738,5853
10927,4832
16747,11815
37389,11121
47621,355
3792,372
12931,4229
40725,203
40596,4814
43379,1352
18632,4648
19191,3765
50499,3624
9824,670
49325,241
50241,921
40445,3223
7881,7962
32118,137
36388,17
35192,5988
26174,931
37686,1691
18627,68
13449,1639
28480,77
45699,212
36532,144
51148,1866
47213,950
50024,1305
18397,2465
44491,1966
40596,7058
16508,2695
45750,453
49462,2485
34165,1620
42943,515
37746,66
14485,1223
46335,2952
15125,10722
41953,7682
625,7668
17796,7520
965,533
8780,1633
34460,1469
48398,9068
137,1938
49281,2846
22004,475
7302,2544
30173,6984
14142,2895
37033,1166
22086,56
52231,9399
35136,260
46224,5597
32110,3706
5661,281
29767,176
43200,1322
32877,4031
12670,6265
1803,3467
20552,2267
7736,4587
14187,2851
23882,408
45670,3398
37453,193
32484,350
44979,1975
18130,1469
19593,6652
15216,68
11733,2264
41270,751
34560,276
16810,527
40787,481
20524,5301
47999,5529
19154,4987
25803,4271
42123,1941
19179,1044
1310,2017
40678,1482
29718,2485
50226,338
25408,13
23952,2926
34000,87
9333,1923
16128,1029
20255,387
14504,9190
16781,1688
35774,2686
37461,8138
10189,5144
34377,560
6705,500
23765,603
3628,229
34800,1252
38640,387
45790,499
50389,3933
39549,945
46266,663
38086,2451
19593,344
34497,1709
16970,830
12535,7439
29964,2927
3054,3690
12989,2478
51608,6823
25440,1261
46021,7697
29708,13916
15183,6839
31539,2099
40573,5707
52938,7398
41202,1860
17919,2233
51059,808
50338,2352
39215,2469
17281,515
30641,2293
21040,3040
39931,87
4722,1541
21189,9815
52209,1848
282,4767
30084,1123
21358,604
11949,2438
5902,4484
2511,1513
48635,750
31328,3658
40455,734
37414,5331
41951,5094
2127,1666
44804,5500
437,1024
9262,2428
25595,1125
32942,113
22829,3411
2374,4269
19359,4961
8017,995
48968,1263
47410,8099
4913,8460
6699,2469
24243,909
48310,3640
51202,4502
3519,173
48610,6360
44269,12649
40687,4890
17024,4982
40380,1114
17312,1378
46322,3433
46033,1702
39862,1438
51558,1090
42823,2470
11505,3705
1852,603
13495,76
51945,3506
5511,3363
18034,54
46231,1469
8434,1847
840,4946
10797,2635
48236,3790
5897,2020
46874,1672
51132,1265
12767,731
34082,320
7469,6379
43411,361
28798,1116
20399,3441
38263,664
50507,2469
17511,5110
17553,151
25720,7322
9449,858
25394,2132
50743,2421
13900,1583
40977,2074
17152,60
34655,1216
25625,865
18818,446
2224,12260
48981,4338
10354,1275
7959,6453
36668,4243
35705,1726
31781,89
31940,875
40432,12637
20634,504
49199,2099
2398,1563
20968,151
46432,2024
10391,992
22484,193
18306,3
43298,2314
18742,2184
4965,295
47029,1640
27857,7246
42671,8223
31737,263
23142,12244
38414,5759
49075,3171
40859,2323
33516,94
6927,1322
6443,504
29973,599
224,265
20607,321
46946,6272
883,564
4889,1423
4862,3010
19201,555
11585,688
18363,3354
8898,1260
45051,2022
33679,377
5029,4094
28590,203
37712,166
2277,2362
21111,8132
50280,2401
22808,1654
29379,8295
17026,372
7189,188
12431,406
7606,3956
46461,17
41659,3646
41180,11396
1423,154
7539,219
37065,9399
11430,3403
39069,10941
22305,491
51746,152
24243,1687
11435,1232
30737,2492
12669,1061
46428,8683
5843,1652
14534,7132
12356,3493
10620,276
24941,280
51940,9189
16340,2049
15807,203
4370,7136
1313,480
31402,152
22884,1115
17470,85
1631,265
4997,2007
16280,583
47435,2485
36222,1372
8848,1392
7739,5441
46478,5105
45991,88
7230,4337
21573,960
45823,1692
42068,1098
30244,1011
22031,650
781,64
46803,2145
2018,775
12792,1717
9480,4098
48174,1690
2650,46
43852,3174
12075,4315
43364,117
47042,14020
24374,1383
17603,6372
41967,220
40639,49
30981,644
34548,650
11589,1417
40473,2892
50969,173
16629,4367
29352,2422
7871,1140
23195,2407
13823,4185
2061,3110
922,1167
44866,67
12983,2784
9663,2445
32108,2675
36218,1225
46352,10335
23602,58
1027,471
42620,130
39092,1179
28506,869
7256,537
33199,2361
16898,81
52036,724
22058,1258
38224,12805
39542,77
38735,340
48982,1630
39455,334
27311,83
12052,355
33954,9935
51166,5851
40499,14014
4754,9710
19481,605
11580,15134
41056,2715
46346,14871
44026,228
29315,3299
13959,651
16414,3274
20717,383
24597,155
28094,863
4018,12939
35991,7382
1894,687
25322,636
17321,3436
34380,1176
51375,1359
9568,2204
39305,684
11432,3022
4742,295
42510,3319
7183,641
25812,1501
11207,2388
10109,1131
7047,5204
46431,2090
43608,1838
30917,2667
13771,1469
20602,84
19628,3084
14183,122
6347,1044
20287,2311
6282,1779
34196,658
46678,3633
6730,2428
38082,155
24011,1946
49480,1215
42776,1230
11758,515
10279,7126
15102,151
15318,3620
3907,3891
39430,565
10855,127
12495,3981
5001,4235
10663,4444
9930,303
19453,1061
29822,8536
7148,422
9827,2235
9086,909
35439,260
22909,128
46110,10208
50487,13323
23392,1690
29221,1779
48933,2249
14046,1305
33995,12733
50791,4297
50144,2298
50901,1124
22091,3824
10430,6313
9010,1523
36855,132
27754,343
36384,498
26962,966
49816,88
11005,356
22957,16
21862,628
38836,707
5994,1097
23671,150
35273,7819
18275,552
14792,624
40926,189
49431,802
10995,2559
11962,67
3028,1140
11404,1187
31081,35
42660,90
32118,2027
35553,6665
25659,44
47590,1116
27450,1450
29369,5444
52534,517
515,387
22570,4701
22473,650
21713,2457
34542,82
28060,90
29255,209
47676,9000
24507,1061
10894,1204
46284,2459
21081,3219
41117,2561
44716,852
40686,173
28143,4447
21748,44
48113,2799
49138,4583
50488,56
2850,1698
46475,6365
7985,7219
28438,1704
36797,633
16272,1251
608,406
42604,9140
48089,4293
43557,1166
8703,10694
18343,282
31286,2454
48992,476
33563,14163
49276,4846
46156,12312
41339,2190
32226,85
10566,1555
3251,3450
9964,208
49078,2299
40577,2203
12957,202
3272,292
9464,5988
50350,11044
22158,1305
34082,5338
39772,6421
37240,2913
13137,396
34378,184
48757,1385
10492,77
49915,88
22432,16
36131,5027
17586,2833
37246,281
38161,192
32902,6039
49746,1699
11634,2065
42560,13556
1859,308
21715,2294
11194,760
52097,5076
1056,5657
13654,1140
42685,3024
7068,1419
15802,2911
14488,2438
24169,9195
18471,193
12621,2423
30508,126
28927,115
4161,1861
34309,9433
26396,152
8833,2910
19780,178
22564,422
32448,1123
18462,155
25921,187
20754,266
26859,10495
52560,648
29675,1869
309,2765
13943,4998
32469,2663
5529,902
14602,1988
22529,4948
21032,4832
46089,4268
13177,49
43777,14193
20692,9855
42344,1542
44991,1359
12818,519
16403,3284
26974,2969
48452,62
34694,2474
9108,1265
7039,381
3626,2267
9671,3086
37079,16
52183,3380
43352,5470
13689,3510
27881,510
33263,161
45170,1147
13132,4610
26718,2667
17405,242
6685,6431
42381,1124
1060,178
22656,1179
24016,3725
30631,2309
4337,422
10509,1843
14317,307
402,605
35648,3080
27594,266
18998,648
48144,4100
3261,381
23811,2027
35649,944
12750,9259
38403,227
36887,4684
7650,1983
52294,2730
20335,2394
30734,249
52553,1779
9712,1726
20673,276
41182,3506
24949,3180
16241,80
1214,2203
3074,12782
21033,3606
30663,150
35355,57
52934,829
51406,2561
46928,1167
28618,1854
41332,305
42750,2537
10295,1245
22421,1602
16233,2051
3365,4130
17034,2665
9183,3748
31117,1949
12377,270
36744,1866
