userId,itemId
2097,1029
4386,1327
4152,83
2308,461
1723,520
1087,102
6008,53
197,1089
3983,23
5248,3188
2690,863
1338,1428
3797,1227
4523,96
2023,1797
1938,189
557,136
549,117
2765,76
4920,882
1003,755
4938,60
5725,206
5830,1018
3177,150
5535,2825
5216,896
2742,537
1053,1063
5084,174
2589,2167
1382,345
4652,1648
839,174
4446,2317
3970,41
330,639
215,206
609,134
3595,55
4425,1492
853,2101
3416,47
695,62
2756,186
1679,842
1050,1466
5472,714
4437,2630
3084,94
1464,1699
4193,269
2017,138
549,85
4168,1987
3260,656
1953,2242
3823,1064
5496,155
4012,524
3118,132
3557,1396
3824,911
4353,62
3714,2158
5616,714
4894,1968
2035,505
1240,516
5387,956
4343,1129
3593,186
4106,97
4936,2474
202,487
5493,2911
1356,2026
256,26
542,1078
3689,457
4202,5
2120,1451
569,2283
1071,1106
4618,1359
5311,1044
2626,517
4507,1102
3625,41
5360,900
683,512
1447,1227
751,2239
2067,1109
2062,1405
4963,1348
325,263
508,1141
2488,2829
555,783
3591,706
3912,171
2139,1543
888,530
4617,277
665,1629
1020,111
6015,665
1957,1797
5953,2190
1486,872
3835,2199
2519,1738
4027,600
1424,746
701,1641
2512,600
1977,133
4015,482
1139,719
731,1593
1634,1154
5139,541
997,1267
5156,2706
2303,738
4469,132
456,352
1925,2503
2174,51
2306,283
3188,621
1278,152
5028,30
1898,21
5794,1834
5119,212
3319,715
444,626
3538,207
4069,808
3044,1231
3133,435
4088,923
4020,1722
3498,929
4818,244
1592,2770
995,1507
3719,2475
101,1691
965,1182
4343,1508
2381,104
186,1657
4756,1533
1603,173
659,1200
5737,352
630,730
5377,551
4088,173
5960,1396
1706,1032
4917,767
135,1053
409,547
5853,86
332,1311
263,6
5321,808
3355,337
2161,381
1210,1289
5535,1251
1726,2742
4266,350
3313,2096
4672,2064
3726,909
5288,438
4252,893
2792,315
4445,1103
2770,1184
2658,1794
4519,911
5346,430
4657,1086
5110,730
1630,1105
4475,538
3552,647
1646,331
3355,1976
4020,2250
55,259
1068,1716
4783,1364
1767,1586
3332,755
1085,86
1298,48
4479,1654
5322,891
3772,1598
4736,2522
4886,1942
3525,1181
2591,1730
2855,4
3080,23
4555,2163
2792,955
4481,359
5273,124
1697,156
565,1200
1339,326
4117,1173
4385,610
5267,1166
4351,290
1496,132
3025,1258
4089,1348
3006,2590
2882,862
3517,128
4424,1106
645,83
3097,1882
5430,2474
345,538
2506,229
2875,113
1870,13
5089,1270
4020,671
1332,2705
3970,210
1009,843
5382,16
113,2200
2257,1338
522,615
1583,354
3649,746
3181,1852
5255,1321
5106,1200
3054,1332
3364,1310
302,1801
5916,1693
3242,1345
4006,146
4182,590
1697,1856
4250,1210
3657,693
2053,7
4442,882
4343,1735
3453,850
3977,38
709,642
3538,688
3807,204
1898,1663
4407,0
1413,1173
3030,2274
2736,2613
3443,627
4443,2735
1752,606
5688,478
4504,1975
1912,468
2010,418
1316,1242
5411,240
651,78
901,1558
691,433
2765,116
934,336
6023,1748
734,1171
5542,783
695,2449
1539,104
3410,335
1284,648
504,1348
3087,164
4790,321
508,1118
4429,483
2105,1964
5074,209
3991,1021
888,2674
1902,71
1604,1928
2001,111
5581,206
4285,2045
506,1517
3913,495
5360,693
4801,934
4578,1260
3609,2509
2102,364
2210,1110
4509,85
2525,1568
3680,1115
4672,249
4816,155
4354,2513
1515,556
3230,127
5604,1153
5905,15
3341,387
1796,2083
3079,794
3933,642
661,671
1062,733
3327,1896
2236,576
883,1743
3331,533
2350,206
1900,767
1631,865
4432,1149
4168,1755
4388,745
254,644
5360,395
5525,2343
1779,727
1627,521
3793,580
4237,1275
1853,50
6035,681
548,678
2410,96
3409,1492
3980,2714
652,311
3538,288
5282,767
4590,26
1604,1927
4106,836
2301,514
