userId,itemId
7043,3153
7187,2250
9863,7680
13166,6907
1341,184
3008,763
7324,2401
7461,4995
10978,2938
6888,866
7688,9685
8854,3266
9243,3278
7753,6254
2348,2665
5518,6148
1768,4852
12827,7359
8716,4473
3572,2650
13741,7985
8080,5118
3444,8925
9470,2875
10825,3954
908,5479
7386,7188
71,1393
2606,1690
11233,2177
5174,4713
2106,811
3222,1718
5850,4057
10670,2478
13498,2745
2669,1988
1703,8724
3320,4698
3522,8363
7221,10007
8112,6670
3285,6134
8907,2757
10276,2360
8974,3986
767,7022
161,2640
1411,1645
11395,2115
2188,4336
8654,8047
11206,5606
8822,5586
3303,6181
3408,9380
2565,571
2931,9343
2349,2094
2323,9550
4836,4277
764,6369
2165,1961
8851,2244
4715,8706
3962,2048
3963,1688
8200,1145
10211,6374
10108,5433
9236,9455
1825,4768
2228,7260
7276,6938
3291,2962
1264,8486
8115,1209
9296,9408
7233,8595
9605,5240
7847,8885
8903,2595
13679,6620
1206,7528
3021,5308
95,6978
4874,9859
5841,7078
8177,8589
8113,1161
1642,703
9419,1251
2465,2926
4917,3664
4854,7061
3842,3858
2424,10257
9103,4068
3079,1227
1747,6865
777,8654
6859,2771
7497,10267
11675,8017
1629,3745
2382,6591
3952,8840
9779,2406
1909,220
4836,2068
4886,6604
13775,8704
932,8342
10478,7645
3551,891
2274,536
4640,3763
6368,7668
1282,4381
7489,4186
3293,9719
1823,2085
2971,2653
7176,3522
11671,2747
10569,9504
7368,7924
11272,3207
11874,8908
4136,2917
1968,8963
5279,9872
2201,4522
13934,7345
3268,271
1029,3273
3429,740
1631,369
11623,3983
7244,1084
7749,6918
3996,3661
918,6292
11488,2740
12334,2799
2422,2080
1164,1536
7496,7098
2346,1792
8697,10114
8086,7899
10343,8959
4466,4226
2471,2149
10880,2773
7212,6310
9161,7095
13542,3615
59,7553
9874,2310
6261,3763
9131,4958
9760,4037
2502,3732
7467,3263
2917,5821
10561,8599
13912,5770
2663,3453
2882,10126
1215,4748
7540,3544
5586,536
4045,4342
5630,3452
715,9313
5965,1023
4680,982
10451,2473
9920,7200
